,free_time,free_discharge,dd_time,dd_discharge,secs_elapsed,possible_outlier
0,2011-04-02 17:15:00,188.0,2011-04-04 17:45:00,237.0,174600.0,False
1,2011-04-03 14:45:00,501.0,2011-04-05 07:00:00,466.0,144900.0,False
2,2011-04-04 09:45:00,334.0,2011-04-05 20:30:00,354.0,125100.0,False
3,2011-04-05 13:30:00,186.0,2011-04-06 10:30:00,317.0,75600.0,True
4,2011-04-06 15:15:00,227.0,2011-04-08 15:15:00,271.0,172800.0,False
5,2011-04-07 12:15:00,188.0,2011-04-09 13:30:00,207.0,177300.0,False
6,2011-04-08 15:45:00,111.0,2011-04-10 20:30:00,155.0,189900.0,False
8,2001-10-09 10:45:00,77.0,2001-10-12 00:30:00,56.0,222300.0,False
9,2003-03-12 12:45:00,210.0,2003-03-14 15:15:00,167.0,181800.0,False
10,2003-03-13 10:15:00,390.0,2003-03-15 05:15:00,235.0,154800.0,False
11,2003-03-14 08:45:00,674.0,2003-03-15 22:30:00,433.0,135900.0,False
12,2003-03-15 07:45:00,501.0,2003-03-16 19:30:00,373.0,128700.00000000001,False
13,2003-03-16 10:15:00,347.0,2003-03-18 01:00:00,288.0,139500.0,False
14,2003-03-17 11:00:00,279.0,2003-03-18 19:30:00,283.0,117000.00000000001,False
15,2003-03-18 06:15:00,156.0,2003-03-20 12:30:00,153.0,195300.0,False
16,2003-03-23 13:30:00,184.0,2003-03-25 10:15:00,151.0,161100.0,False
17,2003-03-24 11:15:00,410.0,2003-03-26 07:45:00,221.0,160200.0,False
18,2003-03-25 11:00:00,342.0,2003-03-27 03:45:00,217.0,146700.0,False
19,2003-03-26 14:00:00,248.0,2003-03-28 09:15:00,169.0,155700.0,False
20,2003-03-27 14:30:00,166.0,2003-03-29 13:15:00,144.0,168300.0,False
21,2003-04-01 14:15:00,252.0,2003-04-03 06:30:00,153.0,144900.0,False
22,2003-04-02 14:15:00,257.0,2003-04-04 10:45:00,153.0,160200.0,False
23,2003-04-03 14:30:00,129.0,2003-04-05 16:30:00,116.0,180000.0,False
24,2003-10-02 18:15:00,176.0,2003-10-03 19:00:00,2030.0,89100.0,True
25,2005-04-08 16:45:00,171.0,2005-04-10 11:00:00,182.0,152100.0,False
26,2005-04-09 14:15:00,122.0,2005-04-11 21:30:00,151.0,198900.0,False
27,2005-04-14 15:45:00,124.0,2005-04-17 01:45:00,135.0,208800.0,False
28,2005-04-15 15:00:00,190.0,2005-04-17 14:30:00,162.0,171000.0,False
29,2005-04-16 15:15:00,261.0,2005-04-18 11:30:00,217.0,159300.0,False
30,2005-04-17 13:30:00,426.0,2005-04-19 09:30:00,270.0,158400.0,False
31,2005-04-18 12:05:00,528.0,2005-04-20 07:45:00,334.0,157200.0,False
32,2005-04-19 12:00:00,440.0,2005-04-21 00:30:00,283.0,131400.0,False
33,2005-04-20 07:00:00,223.0,2005-04-22 18:15:00,175.0,213300.0,False
